X,Y,,truck_name,repair_type,date_fixed,strHeading,address,activity_type,longitude,latitude,OBJECTID
-76.147710942642306,43.048745207990599,8042,285,SNOW&ICE,2018-01-0302:46:01.000,W,300WASHINGTONSTE&STATES,,-76.1477109426423,43.0487452079906,14221
-76.149217443134305,43.048789107940301,8054,285,SNOW&ICE,2018-01-0302:46:19.000,NW,217MONTGOMERYST&FAYETTES,,-76.1492174431343,43.0487891079403,14222
-76.149259443267596,43.050450208243902,8075,285,SNOW&ICE,2018-01-0302:46:49.000,NE,257WATERSTE&MONTGOMERYS,,-76.1492594432676,43.0504502082439,14223
-76.148880143141795,43.050412608251698,8079,285,SNOW&ICE,2018-01-0302:46:57.000,SE,301WATERSTE&ERIEBLVDE,,-76.1488801431418,43.0504126082517,14224
-76.1489399431062,43.049648908109098,8093,285,SNOW&ICE,2018-01-0302:47:13.000,SW,233WASHINGTONSTE&MONTGOM,,-76.1489399431062,43.0496489081091,14225
-76.149314143226306,43.049630608091199,8099,285,SNOW&ICE,2018-01-0302:47:21.000,W,237-43GENESEESTE&MONTGOMERY,,-76.1493141432263,43.0496306080912,14226
-76.149352743240001,43.049647908092901,8100,285,SNOW&ICE,2018-01-0302:47:23.000,NW,237-43GENESEESTE&MONTGOMERY,StopMoving,-76.14935274324,43.0496479080929,14227
-76.149355943278096,43.050161408187101,8109,285,SNOW&ICE,2018-01-0302:47:33.000,N,258WATERSTE&MONTGOMERYS,StartMoving,-76.1493559432781,43.0501614081871,14228
-76.149222443258097,43.0504866082521,8116,285,SNOW&ICE,2018-01-0302:47:41.000,E,257WATERSTE&MONTGOMERYS,,-76.1492224432581,43.0504866082521,14229
-76.147460642679107,43.050383108301297,8132,285,SNOW&ICE,2018-01-0302:48:08.000,S,327-35WATERSTE&STATESTS&,,-76.1474606426791,43.0503831083013,14230
-76.147596742667005,43.049602608152497,8141,285,SNOW&ICE,2018-01-0302:48:20.000,SW,301WASHINGTONSTE&MARKET,,-76.147596742667,43.0496026081525,14231
