X,Y,truck_name,repair_type,date_fixed,date_fixed1,address,activity_type,longitude,latitude,OBJECTID
-76.152484246050932,43.074556112546993,216,SNOW & ICE,2017-03-13 00:04:49.000,2017-03-13 00:04:49.000,2619 GRANT BLVD                                   ,,-76.1524842460509,43.074556112547,96
-76.162907645265378,43.016681201507836,263,SNOW & ICE,2017-03-13 00:04:51.000,2017-03-13 00:04:51.000,2108 SOUTH AVE & FAIRFIELD AVE                    ,    Start Moving,-76.1629076452654,43.0166812015078,97
-76.145857743865932,43.07407761271589,178,SNOW & ICE,2017-03-13 00:04:54.000,2017-03-13 00:04:54.000,2308 GRANT BLVD & MCCHESNEY PK                    ,,-76.1458577438659,43.0740776127159,98
-76.110549431084138,43.055703710707277,286,SNOW & ICE,2017-03-13 00:04:54.000,2017-03-13 00:04:55.000,1824 EB I 690 SYRACUSE 13210                      ,,-76.1105494310841,43.0557037107073,99
-76.172485149666727,43.034677204445551,283,SNOW & ICE,2017-03-13 00:04:56.000,2017-03-13 00:04:56.000,300 BRADLEY ST & ELLIOTT ST                       ,,-76.1724851496667,43.0346772044456,100
-76.110814131166251,43.055650710687296,210,SNOW & ICE,2017-03-13 00:04:56.000,2017-03-13 00:04:57.000,1822 EB I 690 SYRACUSE 13210                      ,,-76.1108141311663,43.0556507106873,101
-76.153331146340037,43.074753412550386,216,SNOW & ICE,2017-03-13 00:05:01.000,2017-03-13 00:05:01.000,824 COURT ST & GRANT BLVD                         ,    Stop Moving,-76.15333114634,43.0747534125504,102
-76.142322940751697,43.046765607835418,265,SNOW & ICE,2017-03-13 00:05:01.000,2017-03-13 00:05:02.000,70 E ADAMS ST TO NB I 81 RAMP SYRACUSE 13210      ,    Start Moving,-76.1423229407517,43.0467656078354,103
-76.118808234575084,43.066969912457729,285,SNOW & ICE,2017-03-13 00:05:04.000,2017-03-13 00:05:04.000,2001 JAMES ST & PECK AVE                          ,,-76.1188082345751,43.0669699124577,104
-76.153380646365704,43.074886912572971,216,SNOW & ICE,2017-03-13 00:05:07.000,2017-03-13 00:05:07.000,915 COURT ST                                      ,,-76.1533806463657,43.074886912573,105
-76.153098146292621,43.075145112631347,216,SNOW & ICE,2017-03-13 00:05:13.000,2017-03-13 00:05:13.000,1001 COURT ST & BRACE ST                          ,    Start Moving,-76.1530981462926,43.0751451126313,106
-76.143074940708161,43.042769707071926,267,SNOW & ICE,2017-03-13 00:05:14.000,2017-03-13 00:05:14.000,629 E ADAMS ST SYRACUSE 13202                     ,    Spreader Off,-76.1430749407082,43.0427697070719,107
-76.142917940657128,43.04276860707779,267,SNOW & ICE,2017-03-13 00:05:17.000,2017-03-13 00:05:18.000,637 E ADAMS ST SYRACUSE 13202                     ,    Stop Moving,-76.1429179406571,43.0427686070778,108
-76.112073132483701,43.06828441295977,208,SNOW & ICE,2017-03-13 00:05:19.000,2017-03-13 00:05:19.000,2400-10 JAMES ST & STAFFORD AVE                   ,,-76.1120731324837,43.0682844129598,109
-76.172780649639876,43.032973204120879,283,SNOW & ICE,2017-03-13 00:05:27.000,2017-03-13 00:05:27.000,1100 BELLEVUE AVE & BRADLEY ST                    ,    Spreader Off,-76.1727806496399,43.0329732041209,110
-76.17402295003761,43.032900704059429,283,SNOW & ICE,2017-03-13 00:05:40.000,2017-03-13 00:05:40.000,1132 BELLEVUE AVE                                 ,    Spreader On,-76.1740229500376,43.0329007040594,111
-76.123306435877836,43.064786711882618,285,SNOW & ICE,2017-03-13 00:05:41.000,2017-03-13 00:05:41.000,100 HAMPTON RD & JAMES ST                         ,    Plow Down,-76.1233064358778,43.0647867118826,112
-76.17413895006581,43.032769904030879,283,SNOW & ICE,2017-03-13 00:05:45.000,2017-03-13 00:05:45.000,1134-36 BELLEVUE AVE                              ,,-76.1741389500658,43.0327699040309,113
-76.111340731322073,43.055441110628387,179,SNOW & ICE,2017-03-13 00:05:48.000,2017-03-13 00:05:49.000,1820 EB I 690 SYRACUSE 13210                      ,,-76.1113407313221,43.0554411106284,114
-76.16783874681154,43.015942101180983,263,SNOW & ICE,2017-03-13 00:05:51.000,2017-03-13 00:05:51.000,310 HUTCHINSON AVE                                ,,-76.1678387468115,43.015942101181,115
-76.145841643860848,43.074079612716865,178,SNOW & ICE,2017-03-13 00:05:54.000,2017-03-13 00:05:54.000,2308 GRANT BLVD & MCCHESNEY PK                    ,,-76.1458416438608,43.0740796127169,116
-76.110530431076754,43.055686110704777,286,SNOW & ICE,2017-03-13 00:05:54.000,2017-03-13 00:05:55.000,1824 EB I 690 SYRACUSE 13210                      ,,-76.1105304310768,43.0556861107048,117
-76.174083950006889,43.032199203928116,283,SNOW & ICE,2017-03-13 00:05:55.000,2017-03-13 00:05:55.000,121 STINARD AVE                                   ,    Spreader Off,-76.1740839500069,43.0321992039281,118
-76.110800631163229,43.055669710691284,210,SNOW & ICE,2017-03-13 00:05:56.000,2017-03-13 00:05:57.000,1822 EB I 690 SYRACUSE 13210                      ,,-76.1108006311632,43.0556697106913,119
